2026-04-30	google	Adapt your Shopping campaigns to modern Search with AI Max.	https://blog.google/products/ads-commerce/ai-max-for-shopping/	Built for the next generation of Search, AI Max for Shopping campaigns helps retailers reach shoppers the moment discovery begins.
2026-04-30	google	AI Max Turns 1 with new ways to steer performance and expansion to more advertisers	https://blog.google/products/ads-commerce/ai-max-new-features/	As AI Max turns 1, we’re helping you capture even more opportunities in the expanding Search universe.
2026-04-30	google	Meet travelers in the moments that matter with Search Campaigns for Travel.	https://blog.google/products/ads-commerce/ai-max-for-travel/	Upgrade to AI Max to simplify your workflow and access our most advanced tools.
2026-04-30	yandex	Кто и как смотрит контент на Connected TV: главные выводы из исследования Яндекс Рекламы	https://yandex.ru/adv/news/kto-i-kak-smotrit-kontent-na-connected-tv	
2026-04-30	yandex	Яндекс продолжает развивать программу поддержки предпринимателей	https://yandex.ru/adv/news/zapuskaem-novuyu-programmu-podderzhki-predprinimatelej	
2026-04-29	yandex	От поискового запроса к решению задачи пользователя: новый уровень персонализации объявлений в Директе	https://yandex.ru/adv/news/ot-optimizacii-teksta-pod-zapros-k-polnocennoj-personalizacii	
2026-04-28	google	We’re donating Agent Payments Protocol to the FIDO Alliance to support the future of secure, agentic payments.	https://blog.google/products-and-platforms/platforms/google-pay/agent-payments-protocol-fido-alliance/	Google donates the Agent Payments Protocol (AP2) to the FIDO Alliance to help secure the evolution of AI-driven commerce.
2026-04-28	yandex	Мобильное приложение Директа: новые возможности для специалистов	https://yandex.ru/adv/news/mobilnoe-prilozhenie-direkta-novye-vozmozhnosti-dlya-specialistov	
2026-04-27	google	Albertsons Media Collective brings retail signals to YouTube with Google’s Commerce Media Suite.	https://blog.google/products/marketingplatform/360/albertsons-google-commerce-media-suite/	Supercharge performance across the shopper journey by connecting Albertsons data with Google’s AI and scale.
2026-04-27	yandex	Встречайте Yandex Mobile Ads SDK 8 — минимум времени на запуск монетизации, максимум дохода	https://yandex.ru/adv/news/yandex-mobile-ads-sdk-8	
2026-04-27	yandex	Данные об in-app конверсиях теперь в исследовании Target Lift	https://yandex.ru/adv/news/dannye-ob-in-app-konversiyah-teper-v-issledovanii-target-lift	
2026-04-27	yandex	Монетизируйте свой канал в МАКС с РСЯ для блогеров	https://yandex.ru/adv/news/monetiziruyte-svoy-kanal-v-max-s-rsya-dlya-blogerov	
